Medal Category Name,Table Number,BJCP Style Name,BJCP Style Id,JUDGE FRESH
Specialty Beer,88,Historical Beer,27A,
Specialty Beer,88,Historic Sahti,27A9,
Specialty Beer,88,Alternative Grain Beer,31A,
Specialty Beer,88,Alternative Sugar Beer,31B,
Specialty Beer,88,Commercial Specialty Beer,34A,
Specialty Beer,88,Mixed Style Beer,34B,
Specialty Beer,88,Experimental Beer,34C,
,,,,
Traditional Mead,89,Dry Mead *,M1A,
Traditional Mead,89,Semi Sweet Mead *,M1B,
Traditional Mead,89,Sweet Mead *,M1C,
,,,,
Melomel,90,Cyser,M2A,
Melomel,90,Pyment *,M2B,
Melomel,90,Berry Mead *,M2C,
Melomel,90,Stone Fruit Mead *,M2D,
Melomel,90,Melomel *,M2E,
,,,,
Spiced And Specialty Mead,91,Fruit And Spice Mead *,M3A,
Spiced And Specialty Mead,91,Spice Herb Vegetable Mead *,M3B,
Spiced And Specialty Mead,91,Braggot *,M4A,
Spiced And Specialty Mead,91,Historical Mead,M4B,
Spiced And Specialty Mead,91,Experimental Mead,M4C,
,,,,
Cider And Perry,92,New World Cider,C1A,
Cider And Perry,92,English Cider,C1B,
Cider And Perry,92,French Cider,C1C,
Cider And Perry,92,New World Perry,C1D,
Cider And Perry,92,Traditional Perry,C1E,
,,,,
Specialty Cider And Perry,93,New England Cider,C2A,
Specialty Cider And Perry,93,Cider With Other Fruit *,C2B,
Specialty Cider And Perry,93,Apple Wine,C2C,
Specialty Cider And Perry,93,Ice Cider,C2D,
Specialty Cider And Perry,93,Cider With Herbs/Spices *,C2E,
Specialty Cider And Perry,93,Specialty Cider/Perry *,C2F,
